,0
1072,15.0
1073,8.0
1074,14.0
1075,13.0
1076,14.0
1077,16.0
1078,13.0
1079,6.0
1080,11.0
1081,9.0
1082,11.0
1083,23.0
1084,11.0
1085,13.0
1086,10.0
1087,15.0
1088,2.0
1089,9.0
1090,15.0
1091,15.0
1092,12.0
1093,9.0
1094,16.0
1095,15.0
1096,15.0
1097,12.0
1098,13.0
1099,7.0
1100,12.0
1101,13.0
1102,12.0
1103,17.0
1104,16.0
1105,12.0
1106,19.0
1107,11.0
1108,10.0
1109,14.0
1110,16.0
1111,8.0
1112,15.0
1113,15.0
1114,12.0
1115,12.0
1116,12.0
1117,10.0
1118,7.0
1119,14.0
1120,14.0
1121,22.0
1122,10.0
1123,12.0
1124,11.0
1125,18.0
1126,15.0
1127,18.0
1128,13.0
1129,16.0
1130,8.0
1131,11.0
1132,13.0
1133,10.0
1134,18.0
1135,15.0
1136,16.0
1137,17.0
1138,10.0
1139,18.0
1140,13.0
1141,12.0
1142,5.0
1143,2.0
1144,3.0
1145,20.0
1146,16.0
1147,15.0
1148,13.0
1149,13.0
1150,10.0
1151,0.0
1152,18.0
1153,11.0
1154,13.0
1155,17.0
1156,13.0
1157,15.0
1158,17.0
1159,14.0
1160,11.0
1161,16.0
1162,3.0
1163,8.0
1164,15.0
1165,12.0
1166,16.0
1167,11.0
1168,8.0
1169,13.0
1170,14.0
1171,18.0
1172,17.0
1173,19.0
1174,11.0
1175,19.0
1176,13.0
1177,14.0
1178,10.0
1179,16.0
1180,15.0
1181,18.0
1182,8.0
1183,16.0
1184,17.0
1185,11.0
1186,8.0
1187,8.0
1188,19.0
1189,7.0
1190,18.0
1191,14.0
1192,19.0
1193,16.0
1194,14.0
1195,12.0
1196,9.0
1197,5.0
1198,16.0
1199,17.0
1200,15.0
1201,18.0
1202,17.0
1203,12.0
1204,14.0
1205,9.0
1206,14.0
1207,1.0
1208,1.0
1209,8.0
1210,15.0
1211,15.0
1212,8.0
1213,7.0
1214,16.0
1215,14.0
1216,17.0
1217,16.0
1218,15.0
1219,15.0
1220,3.0
1221,5.0
1222,10.0
1223,14.0
1224,17.0
1225,16.0
1226,15.0
1227,16.0
1228,16.0
1229,13.0
1230,13.0
1231,5.0
1232,15.0
1233,14.0
1234,10.0
1235,12.0
1236,18.0
1237,17.0
1238,19.0
1239,13.0
1240,14.0
1241,13.0
1242,19.0
1243,15.0
1244,10.0
1245,12.0
1246,11.0
1247,18.0
1248,13.0
1249,12.0
1250,22.0
1251,17.0
1252,20.0
1253,12.0
1254,16.0
1255,20.0
1256,12.0
1257,16.0
1258,10.0
1259,12.0
1260,14.0
1261,11.0
1262,5.0
1263,10.0
1264,14.0
1265,15.0
1266,14.0
1267,19.0
1268,23.0
1269,17.0
1270,17.0
1271,20.0
1272,10.0
1273,20.0
1274,20.0
1275,12.0
1276,12.0
1277,15.0
1278,18.0
1279,15.0
1280,15.0
1281,21.0
1282,9.0
1283,14.0
1284,12.0
1285,2.0
1286,15.0
1287,3.0
1288,16.0
1289,9.0
1290,16.0
1291,17.0
1292,17.0
1293,15.0
1294,20.0
1295,12.0
1296,14.0
1297,17.0
1298,18.0
1299,17.0
1300,19.0
1301,15.0
1302,12.0
1303,14.0
1304,19.0
1305,17.0
1306,13.0
1307,13.0
1308,16.0
1309,10.0
1310,14.0
1311,17.0
1312,23.0
1313,16.0
1314,15.0
1315,19.0
1316,18.0
1317,14.0
1318,15.0
1319,20.0
1320,14.0
1321,18.0
1322,12.0
1323,18.0
1324,8.0
1325,22.0
1326,12.0
1327,17.0
1328,14.0
1329,17.0
1330,8.0
1331,11.0
1332,7.0
1333,14.0
1334,15.0
1335,19.0
1336,12.0
1337,9.0
1338,22.0
1339,9.0
1340,15.0
1341,10.0
1342,11.0
1343,13.0
1344,16.0
1345,9.0
1346,8.0
1347,21.0
1348,17.0
1349,12.0
1350,9.0
1351,13.0
1352,9.0
1353,15.0
1354,19.0
1355,10.0
1356,14.0
1357,21.0
1358,15.0
1359,15.0
1360,15.0
1361,14.0
1362,16.0
1363,16.0
1364,14.0
1365,15.0
1366,5.0
1367,15.0
1368,10.0
1369,15.0
1370,16.0
1371,16.0
1372,15.0
1373,13.0
1374,12.0
1375,2.0
1376,11.0
1377,17.0
1378,15.0
1379,15.0
1380,17.0
1381,19.0
1382,19.0
1383,20.0
1384,18.0
1385,12.0
1386,16.0
1387,12.0
1388,5.0
1389,10.0
1390,12.0
1391,14.0
1392,13.0
1393,18.0
1394,23.0
1395,14.0
1396,18.0
1397,16.0
1398,15.0
1399,9.0
1400,18.0
1401,17.0
1402,17.0
1403,13.0
1404,15.0
1405,17.0
1406,16.0
1407,18.0
1408,19.0
1409,11.0
1410,14.0
1411,19.0
1412,19.0
1413,14.0
1414,13.0
1415,12.0
1416,14.0
1417,11.0
1418,25.0
1419,21.0
1420,15.0
1421,17.0
1422,19.0
1423,13.0
1424,13.0
1425,16.0
1426,18.0
1427,8.0
1428,14.0
1429,21.0
1430,20.0
1431,16.0
1432,15.0
1433,13.0
1434,17.0
1435,20.0
1436,16.0
1437,18.0
1438,10.0
1439,19.0
1440,9.0
1441,9.0
1442,16.0
1443,15.0
1444,12.0
1445,24.0
1446,20.0
1447,9.0
1448,21.0
1449,18.0
1450,19.0
1451,6.0
1452,18.0
1453,17.0
1454,17.0
1455,15.0
1456,16.0
1457,18.0
1458,12.0
1459,13.0
1460,20.0
1461,18.0
1462,17.0
1463,4.0
1464,16.0
1465,18.0
1466,16.0
1467,18.0
1468,7.0
1469,19.0
1470,16.0
1471,10.0
1472,1.0
1473,5.0
1474,16.0
1475,22.0
1476,16.0
1477,15.0
1478,17.0
1479,12.0
1480,8.0
1481,9.0
1482,9.0
1483,19.0
1484,17.0
1485,14.0
1486,10.0
1487,16.0
1488,14.0
1489,16.0
1490,20.0
1491,21.0
1492,5.0
1493,15.0
1494,17.0
1495,13.0
1496,21.0
1497,15.0
1498,21.0
1499,19.0
1500,10.0
1501,16.0
1502,17.0
1503,17.0
1504,10.0
1505,17.0
1506,16.0
1507,11.0
1508,17.0
1509,16.0
1510,17.0
1511,22.0
1512,17.0
1513,19.0
1514,16.0
1515,13.0
1516,12.0
1517,17.0
1518,16.0
1519,10.0
1520,13.0
1521,19.0
1522,14.0
1523,17.0
1524,18.0
1525,17.0
1526,17.0
1527,13.0
1528,15.0
1529,15.0
1530,21.0
1531,10.0
1532,14.0
1533,16.0
1534,20.0
1535,19.0
1536,11.0
1537,15.0
1538,24.0
1539,10.0
1540,17.0
1541,19.0
1542,20.0
1543,10.0
1544,14.0
1545,18.0
1546,16.0
1547,16.0
1548,16.0
1549,3.0
1550,8.0
1551,14.0
1552,18.0
1553,17.0
1554,19.0
1555,16.0
1556,14.0
1557,16.0
1558,20.0
1559,7.0
1560,6.0
