,0
707,22.0
708,20.0
709,14.0
710,8.0
711,9.0
712,15.0
713,15.0
714,16.0
715,17.0
716,12.0
717,17.0
718,22.0
719,17.0
720,11.0
721,14.0
722,15.0
723,19.0
724,11.0
725,20.0
726,17.0
727,11.0
728,15.0
729,13.0
730,10.0
731,15.0
732,16.0
733,13.0
734,16.0
735,19.0
736,15.0
737,13.0
738,7.0
739,17.0
740,10.0
741,11.0
742,7.0
743,13.0
744,16.0
745,14.0
746,12.0
747,10.0
748,16.0
749,18.0
750,15.0
751,21.0
752,14.0
753,18.0
754,12.0
755,18.0
756,19.0
757,6.0
758,18.0
759,17.0
760,9.0
761,13.0
762,15.0
763,25.0
764,16.0
765,15.0
766,15.0
767,14.0
768,13.0
769,18.0
770,9.0
771,15.0
772,17.0
773,15.0
774,15.0
775,6.0
776,8.0
777,17.0
778,12.0
779,19.0
780,20.0
781,12.0
782,8.0
783,15.0
784,13.0
785,17.0
786,19.0
787,9.0
788,10.0
789,16.0
790,5.0
791,19.0
792,20.0
793,15.0
794,9.0
795,20.0
796,15.0
797,16.0
798,19.0
799,22.0
800,14.0
801,19.0
802,13.0
803,18.0
804,15.0
805,21.0
806,16.0
807,11.0
808,23.0
809,19.0
810,21.0
811,19.0
812,15.0
813,17.0
814,17.0
815,15.0
816,10.0
817,16.0
818,11.0
819,18.0
820,10.0
821,21.0
822,17.0
823,14.0
824,19.0
825,14.0
826,19.0
827,17.0
828,18.0
829,16.0
830,12.0
831,17.0
832,14.0
833,13.0
834,13.0
835,6.0
836,15.0
837,12.0
838,15.0
839,21.0
840,12.0
841,16.0
842,14.0
843,8.0
844,15.0
845,14.0
846,16.0
847,19.0
848,14.0
849,15.0
850,16.0
851,3.0
852,16.0
853,13.0
854,12.0
855,13.0
856,13.0
857,15.0
858,16.0
859,16.0
860,12.0
861,14.0
862,12.0
863,4.0
864,15.0
865,21.0
866,11.0
867,11.0
868,10.0
869,20.0
870,11.0
871,9.0
872,18.0
873,12.0
874,15.0
875,16.0
876,16.0
877,10.0
878,20.0
879,12.0
880,18.0
881,8.0
882,17.0
883,8.0
884,21.0
885,2.0
886,13.0
887,11.0
888,21.0
889,21.0
890,20.0
891,21.0
892,13.0
893,10.0
894,4.0
895,17.0
896,13.0
897,15.0
898,13.0
899,18.0
900,14.0
901,15.0
902,15.0
903,16.0
904,12.0
905,17.0
906,14.0
907,18.0
908,17.0
909,18.0
910,9.0
911,15.0
912,17.0
913,16.0
914,15.0
915,20.0
916,5.0
917,8.0
918,12.0
919,15.0
920,16.0
921,5.0
922,16.0
923,17.0
924,14.0
925,16.0
926,13.0
927,9.0
928,12.0
929,18.0
930,16.0
931,8.0
932,17.0
933,10.0
934,5.0
935,4.0
936,7.0
937,15.0
938,18.0
939,10.0
940,16.0
941,11.0
942,12.0
943,21.0
944,10.0
945,12.0
946,7.0
947,9.0
948,13.0
949,16.0
950,17.0
951,22.0
952,14.0
953,9.0
954,18.0
955,9.0
956,17.0
957,16.0
958,21.0
959,10.0
960,15.0
961,14.0
962,13.0
963,16.0
964,13.0
965,17.0
966,17.0
967,7.0
968,13.0
969,16.0
970,18.0
971,15.0
972,18.0
973,19.0
974,8.0
975,18.0
976,16.0
977,18.0
978,15.0
979,13.0
980,16.0
981,18.0
982,18.0
983,13.0
984,18.0
985,13.0
986,14.0
987,18.0
988,14.0
989,17.0
990,6.0
991,11.0
992,13.0
993,12.0
994,13.0
995,16.0
996,11.0
997,18.0
998,11.0
999,17.0
1000,15.0
1001,11.0
1002,15.0
1003,20.0
1004,16.0
1005,6.0
1006,18.0
1007,8.0
1008,9.0
1009,19.0
1010,16.0
1011,7.0
1012,11.0
1013,12.0
1014,23.0
1015,16.0
1016,16.0
1017,17.0
1018,13.0
1019,17.0
1020,13.0
1021,20.0
1022,13.0
1023,7.0
1024,25.0
1025,16.0
1026,15.0
1027,11.0
1028,10.0
1029,13.0
1030,21.0
1031,15.0
1032,15.0
1033,14.0
1034,7.0
1035,16.0
1036,21.0
1037,8.0
1038,22.0
1039,10.0
1040,16.0
1041,11.0
1042,5.0
1043,18.0
1044,3.0
1045,5.0
1046,20.0
1047,8.0
1048,14.0
1049,17.0
1050,14.0
1051,13.0
1052,17.0
1053,10.0
1054,16.0
1055,18.0
1056,11.0
1057,10.0
1058,12.0
1059,19.0
1060,21.0
1061,17.0
1062,8.0
1063,10.0
1064,16.0
1065,17.0
1066,10.0
1067,2.0
1068,8.0
1069,15.0
1070,15.0
1071,21.0
1072,7.0
1073,10.0
1074,14.0
1075,13.0
1076,11.0
1077,16.0
1078,23.0
1079,13.0
1080,15.0
1081,15.0
1082,16.0
1083,17.0
1084,16.0
1085,25.0
1086,9.0
1087,15.0
1088,17.0
1089,11.0
1090,14.0
1091,12.0
1092,9.0
1093,13.0
1094,14.0
1095,14.0
1096,11.0
1097,15.0
1098,20.0
1099,11.0
1100,17.0
1101,9.0
1102,18.0
1103,2.0
1104,15.0
1105,15.0
1106,21.0
1107,11.0
1108,7.0
1109,9.0
1110,14.0
1111,12.0
1112,14.0
1113,19.0
1114,13.0
1115,11.0
1116,12.0
1117,12.0
1118,11.0
1119,15.0
1120,20.0
1121,13.0
1122,5.0
1123,14.0
1124,17.0
1125,12.0
1126,14.0
1127,16.0
1128,19.0
1129,17.0
1130,16.0
1131,13.0
1132,17.0
1133,16.0
1134,17.0
1135,18.0
1136,12.0
1137,24.0
1138,15.0
1139,18.0
1140,19.0
1141,18.0
1142,8.0
1143,13.0
1144,13.0
1145,15.0
1146,15.0
1147,18.0
1148,9.0
1149,14.0
1150,17.0
1151,6.0
1152,21.0
1153,17.0
1154,14.0
1155,17.0
1156,18.0
1157,15.0
1158,15.0
1159,17.0
1160,12.0
1161,11.0
1162,13.0
1163,14.0
1164,19.0
1165,10.0
1166,11.0
1167,14.0
1168,17.0
1169,8.0
1170,9.0
1171,11.0
1172,7.0
1173,5.0
1174,16.0
1175,18.0
1176,18.0
1177,18.0
1178,14.0
1179,16.0
1180,15.0
1181,19.0
1182,20.0
1183,15.0
1184,6.0
1185,13.0
1186,19.0
1187,16.0
1188,12.0
1189,14.0
1190,10.0
1191,19.0
1192,15.0
1193,16.0
1194,15.0
1195,10.0
1196,16.0
1197,20.0
1198,11.0
1199,20.0
1200,2.0
1201,14.0
1202,18.0
1203,15.0
1204,16.0
1205,22.0
1206,18.0
1207,16.0
1208,18.0
1209,16.0
1210,16.0
1211,12.0
1212,18.0
1213,18.0
1214,15.0
1215,16.0
1216,19.0
1217,15.0
1218,11.0
1219,6.0
1220,24.0
1221,14.0
1222,15.0
1223,20.0
1224,20.0
1225,18.0
1226,10.0
1227,16.0
1228,7.0
1229,14.0
1230,18.0
1231,13.0
1232,16.0
1233,16.0
1234,16.0
1235,10.0
1236,13.0
1237,19.0
1238,12.0
1239,10.0
1240,15.0
1241,15.0
1242,15.0
1243,17.0
1244,17.0
1245,8.0
1246,9.0
1247,16.0
1248,14.0
1249,21.0
1250,17.0
1251,17.0
1252,21.0
1253,12.0
1254,12.0
1255,18.0
1256,15.0
1257,17.0
1258,17.0
1259,12.0
1260,16.0
1261,4.0
1262,9.0
1263,18.0
1264,2.0
1265,15.0
1266,17.0
1267,19.0
1268,11.0
1269,15.0
1270,11.0
1271,17.0
1272,19.0
1273,14.0
1274,15.0
1275,7.0
1276,14.0
1277,12.0
1278,12.0
1279,18.0
1280,11.0
1281,15.0
1282,10.0
1283,12.0
1284,15.0
1285,17.0
1286,16.0
1287,13.0
1288,9.0
1289,6.0
1290,17.0
1291,19.0
1292,11.0
1293,14.0
1294,15.0
1295,18.0
1296,5.0
1297,15.0
1298,22.0
1299,17.0
1300,6.0
1301,13.0
1302,16.0
1303,7.0
1304,14.0
1305,20.0
1306,12.0
1307,13.0
1308,18.0
1309,15.0
1310,17.0
1311,21.0
1312,11.0
1313,14.0
1314,11.0
1315,15.0
1316,14.0
1317,12.0
1318,19.0
1319,16.0
1320,18.0
1321,16.0
1322,17.0
1323,18.0
1324,3.0
1325,11.0
1326,13.0
1327,16.0
1328,15.0
1329,12.0
1330,20.0
1331,17.0
1332,14.0
1333,21.0
1334,10.0
1335,14.0
1336,9.0
1337,9.0
1338,19.0
1339,18.0
1340,14.0
1341,4.0
1342,13.0
1343,14.0
1344,21.0
1345,13.0
1346,13.0
1347,7.0
1348,15.0
1349,11.0
1350,19.0
1351,13.0
1352,15.0
1353,16.0
1354,4.0
1355,15.0
1356,15.0
1357,10.0
1358,17.0
1359,17.0
1360,14.0
1361,9.0
1362,15.0
1363,18.0
1364,10.0
1365,15.0
1366,20.0
1367,6.0
1368,18.0
1369,16.0
1370,14.0
1371,16.0
1372,17.0
1373,8.0
1374,16.0
1375,18.0
1376,20.0
1377,10.0
1378,16.0
1379,9.0
1380,13.0
1381,18.0
1382,12.0
1383,15.0
1384,11.0
1385,12.0
1386,5.0
1387,18.0
1388,12.0
1389,7.0
1390,11.0
1391,13.0
1392,11.0
1393,21.0
1394,20.0
1395,19.0
1396,20.0
1397,11.0
1398,10.0
